Waktu,ausmi
3/1/2001,0.732
4/1/2001,-0.308
5/1/2001,0.22
6/1/2001,-0.605
7/1/2001,0.087
8/1/2001,0.155
9/1/2001,-0.241
10/1/2001,2.154
11/1/2001,0.688
12/1/2001,1.053
1/1/2002,-0.671
2/1/2002,1.132
3/1/2002,-1.398
4/1/2002,-0.722
5/1/2002,-0.262
6/1/2002,0.392
7/1/2002,-0.027
8/1/2002,0.117
9/1/2002,1.477
10/1/2002,-0.629
11/1/2002,-1.189
12/1/2002,-1.54
1/1/2003,0.001
2/1/2003,0.2
3/1/2003,-0.188
4/1/2003,-0.537
5/1/2003,-0.145
6/1/2003,-1.395
7/1/2003,-1.055
8/1/2003,1.642
9/1/2003,0.999
10/1/2003,0.676
11/1/2003,-0.49
12/1/2003,0.901
1/1/2004,-0.654
2/1/2004,1.1
3/1/2004,1.308
4/1/2004,-1.314
5/1/2004,2.176
6/1/2004,-0.4
7/1/2004,-0.402
8/1/2004,0.962
9/1/2004,-0.412
10/1/2004,-0.347
11/1/2004,-0.773
12/1/2004,-0.722
1/1/2005,-0.728
2/1/2005,-0.889
3/1/2005,0.138
4/1/2005,-0.427
5/1/2005,-0.879
6/1/2005,1.725
7/1/2005,-0.27
8/1/2005,0.62
9/1/2005,1.083
10/1/2005,0.851
11/1/2005,0.081
12/1/2005,-0.892
1/1/2006,2.068
2/1/2006,-0.903
3/1/2006,1.81
4/1/2006,2.376
5/1/2006,0.791
6/1/2006,-0.953
7/1/2006,0.826
8/1/2006,-1.428
9/1/2006,-1.384
10/1/2006,-1.718
11/1/2006,-1.652
12/1/2006,-1.903
1/1/2007,0.349
2/1/2007,-1.197
3/1/2007,1.997
4/1/2007,-0.525
5/1/2007,-1.377
6/1/2007,0.696
7/1/2007,-0.873
8/1/2007,-0.858
9/1/2007,-1.087
10/1/2007,0.163
11/1/2007,0.21
12/1/2007,-0.078
1/1/2008,0.368
2/1/2008,1.325
3/1/2008,-0.196
4/1/2008,-0.577
5/1/2008,-1.103
6/1/2008,-0.615
7/1/2008,-0.716
8/1/2008,-1.672
9/1/2008,-0.33
10/1/2008,-1.08
11/1/2008,0.96
12/1/2008,0.469
1/1/2009,0.629
2/1/2009,0.418
3/1/2009,-0.78
4/1/2009,-0.345
5/1/2009,0.883
6/1/2009,0.886
7/1/2009,0.037
8/1/2009,0.526
9/1/2009,0.719
10/1/2009,-0.264
11/1/2009,-1.052
12/1/2009,-0.515
1/1/2010,0.781
2/1/2010,-0.631
3/1/2010,-0.667
4/1/2010,1.472
5/1/2010,1.246
6/1/2010,-0.286
7/1/2010,-0.969
8/1/2010,0.553
9/1/2010,-0.284
10/1/2010,0.552
11/1/2010,0.034
12/1/2010,0.788
1/1/2011,1.736
2/1/2011,0.923
3/1/2011,1.4
4/1/2011,1.527
5/1/2011,2.301
6/1/2011,1.007
7/1/2011,0.547
8/1/2011,-0.041
9/1/2011,-0.198
10/1/2011,0.576
11/1/2011,-0.27
12/1/2011,-0.09
1/1/2012,0.416
2/1/2012,-1.533
3/1/2012,1.763
4/1/2012,-0.091
5/1/2012,0.53
6/1/2012,0.769
7/1/2012,0.531
8/1/2012,-0.397
9/1/2012,0.349
10/1/2012,-0.185
11/1/2012,-0.175
12/1/2012,-1.518
1/1/2013,0.978
2/1/2013,-0.381
3/1/2013,0.79
4/1/2013,0.187
5/1/2013,1.295
6/1/2013,1.251
7/1/2013,-0.266
8/1/2013,-0.001
9/1/2013,0.637
10/1/2013,-0.179
11/1/2013,1.331
12/1/2013,-0.776
1/1/2014,1.018
2/1/2014,0.338
3/1/2014,-0.91
4/1/2014,1.357
5/1/2014,-0.026
6/1/2014,0.009
7/1/2014,1.639
8/1/2014,-0.547
9/1/2014,-1.158
10/1/2014,-0.739
11/1/2014,-0.198
12/1/2014,-0.514
1/1/2015,1.347
2/1/2015,-1.243
3/1/2015,0.304
4/1/2015,0.807
5/1/2015,0.173
6/1/2015,-0.766
7/1/2015,-0.375
8/1/2015,0.205
9/1/2015,-0.794
10/1/2015,-1.961
11/1/2015,-0.305
12/1/2015,0.63
1/1/2016,-1.203
2/1/2016,-1.095
3/1/2016,0.062
4/1/2016,-0.787
5/1/2016,1.231
6/1/2016,0.347
7/1/2016,0.355
8/1/2016,1.374
9/1/2016,1.86
10/1/2016,-0.175
11/1/2016,0.09
12/1/2016,1.191
1/1/2017,1.411
2/1/2017,0.277
3/1/2017,0.726
4/1/2017,0.538
5/1/2017,-0.59
6/1/2017,-0.796
7/1/2017,-0.461
8/1/2017,-0.482
9/1/2017,-0.476
10/1/2017,0.692
11/1/2017,0.168
12/1/2017,0.01
1/1/2018,1.055
2/1/2018,0.239
3/1/2018,0.57
4/1/2018,-0.56
5/1/2018,-1.746
6/1/2018,-0.828
7/1/2018,0.387
8/1/2018,1.704
9/1/2018,-0.264
10/1/2018,0.563
11/1/2018,0.711
12/1/2018,0.249
1/1/2019,0.79
2/1/2019,-0.599
3/1/2019,0.497
4/1/2019,0.164
5/1/2019,-0.591
6/1/2019,-0.914
7/1/2019,-1.029
8/1/2019,-0.457
9/1/2019,-1.143
10/1/2019,-1.255
11/1/2019,-0.931
12/1/2019,-1.571
1/1/2020,0.497
2/1/2020,-0.003
3/1/2020,-0.326
4/1/2020,-0.03
5/1/2020,0.12
6/1/2020,-1.489
7/1/2020,-1.7
8/1/2020,0.03
9/1/2020,-1.015
10/1/2020,0.105
11/1/2020,-0.979
12/1/2020,0.835
